id	description	uniprotIDs	ncbiIDs
B24R07C02	ATP synthase mitochondrial F1 complex assembly factor 2 (ATPAF2), nuclear gene encoding mitochondrial protein	Q8N5M1	NM_145691.3
B24R07C03	cyclin G2 (CCNG2)	Q8N5D4	BC032518.1
B24R07C04	cyclin G2 (CCNG2)	Q8N5D4	BC032518.1
B24R07C05	F-box only protein 8	Q9NRD0	BC014679.1
B24R07C06	F-box only protein 8	Q9NRD0	BC014679.1
B24R07C07	Solute carrier family 7, (cationic amino acid transporter, y+ system) member 11 (SLC7A11), mRNA	NA	NA
B24R07C08	Solute carrier family 7, (cationic amino acid transporter, y+ system) member 11 (SLC7A11), mRNA	NA	NA
B24R07C09	Glutamate dehydrogenase 1, mRNA (cDNA clone IMAGE:4026312), complete cds	NA	NA
B24R07C10	Glutamate dehydrogenase 1, mRNA (cDNA clone IMAGE:4026312), complete cds	NA	NA
B24R07C11	Alpha-globin transcription factor CP2	Q12800	NM_005653.2
B24R07C12	Alpha-globin transcription factor CP2	Q12800	NM_005653.2
B24R07C13	SH2B adaptor protein 1 (SH2B1)	Q96FK3	BC010704.1
B24R07C14	SH2B adaptor protein 1 (SH2B1)	Q96FK3	BC010704.1
B24R07C15	acyl-Coenzyme A dehydrogenase family, member 10 (ACAD10)	Q6JQN1	BC015056.1
B24R07C16	acyl-Coenzyme A dehydrogenase family, member 10 (ACAD10)	Q6JQN1	BC015056.1
B24R07C17	coiled-coil domain containing 127 (CCDC127)	Q96BQ5	NM_145265.1
B24R07C18	coiled-coil domain containing 127 (CCDC127)	Q96BQ5	NM_145265.1
B24R07C19	Folliculin	Q8NFG4	BC015725.1
B24R07C20	Folliculin	Q8NFG4	BC015725.1
B24R07C21	pyridoxal-dependent decarboxylase domain containing 1 (PDXDC1)	Q86XE2	BC033748.1
B24R07C22	pyridoxal-dependent decarboxylase domain containing 1 (PDXDC1)	Q86XE2	BC033748.1
B24R08C01	peptidylprolyl isomerase (cyclophilin)-like 2 (PPIL2), transcript variant 3	Q13356	NM_148176.1
B24R08C02	peptidylprolyl isomerase (cyclophilin)-like 2 (PPIL2), transcript variant 3	Q13356	NM_148176.1
B24R08C03	methionine sulfoxide reductase B3 (MSRB3)	Q8IXL7	BC040053.1
B24R08C04	methionine sulfoxide reductase B3 (MSRB3)	Q8IXL7	BC040053.1
B24R08C05	adenosine deaminase, RNA-specific, B2 (RED2 homolog rat) (ADARB2)	Q9NS39	BC047443.1
B24R08C06	adenosine deaminase, RNA-specific, B2 (RED2 homolog rat) (ADARB2)	Q9NS39	BC047443.1
B24R08C07	erythrocyte membrane protein band 4.1-like 1 (EPB41L1), transcript variant 2	Q9H4G0	NM_177996.1
B24R08C08	erythrocyte membrane protein band 4.1-like 1 (EPB41L1), transcript variant 2	Q9H4G0	NM_177996.1
B24R08C09	family with sequence similarity 120B (FAM120B)	Q96JI9	NM_032448.1
B24R08C10	family with sequence similarity 120B (FAM120B)	Q96JI9	NM_032448.1
B24R08C11	kinesin family member 20A (KIF20A)	O95235	NM_005733.1
B24R08C12	kinesin family member 20A (KIF20A)	O95235	NM_005733.1
B24R08C13	cyclin F (CCNF)	P41002	BC012349.1
B24R08C14	cyclin F (CCNF)	P41002	BC012349.1
B24R08C15	Regucalcin	Q15493	NM_004683.4
B24R08C16	Regucalcin	Q15493	NM_004683.4
B24R08C17	Probable ATP-dependent RNA helicase DDX6	P26196	NM_004397.3
B24R08C18	Probable ATP-dependent RNA helicase DDX6	P26196	NM_004397.3
B24R08C19	Peptidyl-prolyl cis-trans isomerase-like 3	Q9H2H8	NM_032472.3
B24R08C20	Peptidyl-prolyl cis-trans isomerase-like 3	Q9H2H8	NM_032472.3
B24R08C21	Testis-expressed sequence 19 protein	Q8NA77	NM_207459.1
B24R08C22	Testis-expressed sequence 19 protein	Q8NA77	NM_207459.1
B24R09C01	Gastrotropin	P51161	NM_001445.1
B24R09C02	Gastrotropin	P51161	NM_001445.1
B24R09C03	Caspase-1 inhibitor INCA	Q5XLA6	NM_001007232.1
B24R09C04	Caspase-1 inhibitor INCA	Q5XLA6	NM_001007232.1
B24R09C05	40S ribosomal protein S28	P62857	NM_001031.4
B24R09C06	40S ribosomal protein S28	P62857	NM_001031.4
B24R09C07	JmjC domain-containing histone demethylation protein 3B	O94953	NM_015015.1
B24R09C08	JmjC domain-containing histone demethylation protein 3B	O94953	NM_015015.1
B24R09C09	Sarcoglycan, epsilon, mRNA (cDNA clone MGC:26495 IMAGE:4822278), complete cds	NA	NA
B24R09C10	Sarcoglycan, epsilon, mRNA (cDNA clone MGC:26495 IMAGE:4822278), complete cds	NA	NA
B24R09C11	Urocortin 3 (stresscopin), mRNA (cDNA clone MGC:96972 IMAGE:7262181), complete cds	NA	NA
B24R09C12	Urocortin 3 (stresscopin), mRNA (cDNA clone MGC:96972 IMAGE:7262181), complete cds	NA	NA
B24R09C13	Upstream stimulatory factor 2	Q15853	NM_003367.2
B24R09C14	Upstream stimulatory factor 2	Q15853	NM_003367.2
B24R09C15	Vasohibin-2	Q86V25	NM_024749.1,BC053836.1
B24R09C16	Vasohibin-2	Q86V25	NM_024749.1,BC053836.1
B24R09C17	butyrophilin, subfamily 2, member A2 (BTN2A2), transcript variant 1	Q8WVV5	NM_006995.2
B24R09C18	butyrophilin, subfamily 2, member A2 (BTN2A2), transcript variant 1	Q8WVV5	NM_006995.2
B24R09C19	family with sequence similarity 32, member A (FAM32A)	Q9Y421	NM_014077.1
B24R09C20	family with sequence similarity 32, member A (FAM32A)	Q9Y421	NM_014077.1
B24R09C21	ERBB receptor feedback inhibitor 1 (ERRFI1)	Q9UJM3	NM_018948.2
B24R09C22	ERBB receptor feedback inhibitor 1 (ERRFI1)	Q9UJM3	NM_018948.2
B24R10C01	SMA3 (SMA4)	Q15486	BC002622.1
B24R10C02	SMA3 (SMA4)	Q15486	BC002622.1
B24R10C03	kelch-like 25 (Drosophila) (KLHL25)	Q9H0H3	NM_022480.2
B24R10C04	kelch-like 25 (Drosophila) (KLHL25)	Q9H0H3	NM_022480.2
B24R10C05	apoptosis-inducing factor, mitochondrion-associated, 3 (AIFM3)	Q96NN9	BC032485.1
B24R10C06	apoptosis-inducing factor, mitochondrion-associated, 3 (AIFM3)	Q96NN9	BC032485.1
B24R10C07	kinesin light chain 2 (KLC2)	Q9H0B6	NM_022822.1
B24R10C08	kinesin light chain 2 (KLC2)	Q9H0B6	NM_022822.1
B24R10C09	F-box protein 3 (FBXO3), transcript variant 1	Q9UK99	NM_012175.3
B24R10C10	F-box protein 3 (FBXO3), transcript variant 1	Q9UK99	NM_012175.3
B24R11C21	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2 (KDELR2), transcript variant 1	P33947	NM_006854.2
B24R11C22	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2 (KDELR2), transcript variant 1	P33947	NM_006854.2
B24R12C01	galactokinase 1 (GALK1)	P51570	NM_000154.1
B24R12C02	galactokinase 1 (GALK1)	P51570	NM_000154.1
B24R12C03	MAX interactor 1 (MXI1), transcript variant 2	Q96E53	NM_130439.1
B24R12C04	MAX interactor 1 (MXI1), transcript variant 2	Q96E53	NM_130439.1
B24R12C05	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta (NFKBIB), transcript variant 1	Q15653	NM_002503.2
B24R12C06	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta (NFKBIB), transcript variant 1	Q15653	NM_002503.2
B24R12C07	PHD finger protein 21B (PHF21B)	Q96EK2	NM_138415.1
B24R12C08	PHD finger protein 21B (PHF21B)	Q96EK2	NM_138415.1
B24R12C09	Uncharacterized protein C16orf52	Q8NHV5	NM_173501.1
B24R12C10	Uncharacterized protein C16orf52	Q8NHV5	NM_173501.1
B24R12C11	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I) (B3GAT3)	O94766	NM_012200.2
B24R12C12	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I) (B3GAT3)	O94766	NM_012200.2
B24R12C13	naked cuticle homolog 2 (Drosophila) (NKD2)	Q969F2	BC012176.1
B24R12C14	naked cuticle homolog 2 (Drosophila) (NKD2)	Q969F2	BC012176.1
B24R12C15	solute carrier family 39 (zinc transporter), member 4 (SLC39A4)	Q6P5W5	BC062625.1
B24R12C16	solute carrier family 39 (zinc transporter), member 4 (SLC39A4)	Q6P5W5	BC062625.1
B24R12C17	chromosome 1 open reading frame 174 (C1orf174)	Q8IYL3	NM_207356.1
B24R12C18	chromosome 1 open reading frame 174 (C1orf174)	Q8IYL3	NM_207356.1
B24R12C19	Uncharacterized protein FLJ44066	Q6ZU11	NM_138698.2
B24R12C20	Uncharacterized protein FLJ44066	Q6ZU11	NM_138698.2
B24R12C21	signal-regulatory protein gamma (SIRPG)	Q9P1W8	BC064532.1
B24R12C22	signal-regulatory protein gamma (SIRPG)	Q9P1W8	BC064532.1
B24R13C01	cDNA clone IMAGE:4825558	NA	BC022083.2
B24R13C02	cDNA clone IMAGE:4825558	NA	BC022083.2
B24R13C03	hypothetical locus FLJ25758 (FLJ25758)	Q8TCW6	BC033035.1
B24R13C04	hypothetical locus FLJ25758 (FLJ25758)	Q8TCW6	BC033035.1
B24R13C05	hypothetical LOC541472	Q8N6X1	BC027978.1
B24R13C06	hypothetical LOC541472	Q8N6X1	BC027978.1
B24R13C07	olfactomedin 1 (OLFM1), transcript variant 3	Q9BWJ9	NM_058199.1
B24R13C08	olfactomedin 1 (OLFM1), transcript variant 3	Q9BWJ9	NM_058199.1
B24R13C09	dermatopontin (DPT)	Q07507	BC033736.1
B24R13C10	dermatopontin (DPT)	Q07507	BC033736.1
B24R13C11	killer cell lectin-like receptor subfamily C, member 4 (KLRC4)	O43908	NM_013431.1
B24R13C12	killer cell lectin-like receptor subfamily C, member 4 (KLRC4)	O43908	NM_013431.1
B24R13C13	Diacylglycerol kinase epsilon	P52429	BC022297.1
B24R13C14	Diacylglycerol kinase epsilon	P52429	BC022297.1
B24R13C15	golgi SNAP receptor complex member 1 (GOSR1)	O95249	BC012620.1
B24R13C16	golgi SNAP receptor complex member 1 (GOSR1)	O95249	BC012620.1
B24R13C17	interferon regulatory factor 9 (ISGF3G)	Q00978	BC035716.2
B24R13C18	interferon regulatory factor 9 (ISGF3G)	Q00978	BC035716.2
B24R13C19	ADP-ribosylation factor-like 6 interacting protein 2 (ARL6IP2)	Q8NHH9	BC053508.1
B24R13C20	ADP-ribosylation factor-like 6 interacting protein 2 (ARL6IP2)	Q8NHH9	BC053508.1
B24R13C21	ELK1, member of ETS oncogene family (ELK1)	P19419	BC056150.1
B24R13C22	ELK1, member of ETS oncogene family (ELK1)	P19419	BC056150.1
B24R14C01	aarF domain containing kinase 1 (ADCK1)	Q86TW2	BC058906.1
B24R14C02	aarF domain containing kinase 1 (ADCK1)	Q86TW2	BC058906.1
B24R14C03	unconventional SNARE in the ER 1 homolog (S. cerevisiae) (USE1)	Q9NZ43	NM_018467.2,BC006005.1
B24R14C04	unconventional SNARE in the ER 1 homolog (S. cerevisiae) (USE1)	Q9NZ43	NM_018467.2,BC006005.1
B24R14C05	RAB2A, member RAS oncogene family (RAB2A)	P61019	NM_002865.1
B24R14C06	RAB2A, member RAS oncogene family (RAB2A)	P61019	NM_002865.1
B24R14C07	peptidylprolyl isomerase domain and WD repeat containing 1 (PPWD1)	Q96BP3	NM_015342.1
B24R14C08	peptidylprolyl isomerase domain and WD repeat containing 1 (PPWD1)	Q96BP3	NM_015342.1
B24R14C09	elongation factor 1 homolog (S. cerevisiae) (ELOF1)	P60002	NM_032377.2
B24R14C10	elongation factor 1 homolog (S. cerevisiae) (ELOF1)	P60002	NM_032377.2
B24R14C11	TCF3 fusion partner	P0C1Z6	BC001728.1
B24R14C12	TCF3 fusion partner	P0C1Z6	BC001728.1
B24R14C13	anterior gradient homolog 2 (Xenopus laevis) (AGR2)	O95994	NM_006408.2
B24R14C14	anterior gradient homolog 2 (Xenopus laevis) (AGR2)	O95994	NM_006408.2
B24R14C15	nudix (nucleoside diphosphate linked moiety X)-type motif 21 (NUDT21)	O43809	NM_007006.1
B24R14C16	nudix (nucleoside diphosphate linked moiety X)-type motif 21 (NUDT21)	O43809	NM_007006.1
B24R14C17	poly (ADP-ribose) polymerase family, member 16 (PARP16)	Q8N5Y8	BC031074.1,NM_017851.4
B24R14C18	poly (ADP-ribose) polymerase family, member 16 (PARP16)	Q8N5Y8	BC031074.1,NM_017851.4
B24R14C19	Serine/threonine-protein kinase Nek6	Q9HC98	BC004174.1
B24R14C20	Serine/threonine-protein kinase Nek6	Q9HC98	BC004174.1
B24R14C21	fibroblast growth factor binding protein 1 (FGFBP1)	Q14512	NM_005130.1
B24R14C22	fibroblast growth factor binding protein 1 (FGFBP1)	Q14512	NM_005130.1
B24R15C01	signal peptide peptidase 3 (UNQ1887)	Q8TCT6	BC025781.1
B24R15C02	signal peptide peptidase 3 (UNQ1887)	Q8TCT6	BC025781.1
B24R15C03	chromosome 14 open reading frame 79 (C14orf79)	Q96F83	NM_174891.2
B24R15C04	chromosome 14 open reading frame 79 (C14orf79)	Q96F83	NM_174891.2
B24R15C05	MAM domain containing 2 (MAMDC2)	Q7Z304	BC015417.2
B24R15C06	MAM domain containing 2 (MAMDC2)	Q7Z304	BC015417.2
B24R15C07	chromosome 20 open reading frame 160 (C20orf160)	Q9NUG4	BC032455.1
B24R15C08	chromosome 20 open reading frame 160 (C20orf160)	Q9NUG4	BC032455.1
B24R15C09	zinc finger protein 192 (ZNF192)	Q15776	NM_006298.2
B24R15C10	zinc finger protein 192 (ZNF192)	Q15776	NM_006298.2
B24R15C11	fibroblast growth factor 13 (FGF13), transcript variant 1A	Q92913	NM_004114.2
B24R15C12	fibroblast growth factor 13 (FGF13), transcript variant 1A	Q92913	NM_004114.2
B24R15C13	v-ros UR2 sarcoma virus oncogene homolog 1 (avian) (ROS1)	NA	NM_002944.2
B24R15C14	v-ros UR2 sarcoma virus oncogene homolog 1 (avian) (ROS1)	NA	NM_002944.2
B24R15C15	v-akt murine thymoma viral oncogene homolog 2 (AKT2)	P31751	NM_001626.2
B24R15C16	v-akt murine thymoma viral oncogene homolog 2 (AKT2)	P31751	NM_001626.2
B24R15C17	neurotrophic tyrosine kinase, receptor, type 2 (NTRK2), transcript variant b	Q16620	NM_001007097.1
B24R15C18	neurotrophic tyrosine kinase, receptor, type 2 (NTRK2), transcript variant b	Q16620	NM_001007097.1
B24R15C19	CDC-like kinase 4 (CLK4)	Q9HAZ1	NM_020666.2
B24R15C20	CDC-like kinase 4 (CLK4)	Q9HAZ1	NM_020666.2
B24R15C21	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog (KIT), transcript variant 1; see catalog number for detailed information on wild-type or point mutant status	P10721	NM_000222.1
B24R15C22	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog (KIT), transcript variant 1; see catalog number for detailed information on wild-type or point mutant status	P10721	NM_000222.1
B24R16C01	Recombinant human G-CSF	NA	NM_172220.1
B24R16C03	Serine/threonine-protein kinase MARK1	Q9P0L2	NM_018650.1
B24R16C04	Serine/threonine-protein kinase MARK1	Q9P0L2	NM_018650.1
B24R16C05	Mitogen-activated protein kinase 1; see catalog number for detailed information on wild-type or point mutant status	P28482	NM_002745.2
B24R16C06	Mitogen-activated protein kinase 1; see catalog number for detailed information on wild-type or point mutant status	P28482	NM_002745.2
B24R16C07	Uncharacterized protein C1orf104	Q66K80	NM_001039517.1
B24R16C08	Uncharacterized protein C1orf104	Q66K80	NM_001039517.1
B24R16C09	Cytidine and dCMP deaminase domain containing 1, mRNA (cDNA clone IMAGE:5265176), complete cds	NA	NA
B24R16C10	Cytidine and dCMP deaminase domain containing 1, mRNA (cDNA clone IMAGE:5265176), complete cds	NA	NA
B24R16C11	Myelin basic protein (MBP), transcript variant 4, mRNA	NA	NA
B24R16C12	Myelin basic protein (MBP), transcript variant 4, mRNA	NA	NA
B24R16C13	Sprouty homolog 2 (Drosophila), mRNA (cDNA clone MGC:4026 IMAGE:3533337), complete cds	NA	NA
B24R16C14	Sprouty homolog 2 (Drosophila), mRNA (cDNA clone MGC:4026 IMAGE:3533337), complete cds	NA	NA
B24R16C15	Protein SET	Q01105	NM_003011.1,BC032749.1
B24R16C16	Protein SET	Q01105	NM_003011.1,BC032749.1
B24R16C17	Kinesin light chain 1	Q07866	NM_005552.3
B24R16C18	Kinesin light chain 1	Q07866	NM_005552.3
B24R16C19	Sphingosine kinase 1, mRNA (cDNA clone MGC:15041 IMAGE:3831657), complete cds	NA	NA
B24R16C20	Sphingosine kinase 1, mRNA (cDNA clone MGC:15041 IMAGE:3831657), complete cds	NA	NA
B24R16C21	Homeobox protein SIX1	Q15475	BC008874.2
B24R16C22	Homeobox protein SIX1	Q15475	BC008874.2
B24R17C01	hypothetical LOC441178, mRNA (cDNA clone MGC:120780 IMAGE:7939590), complete cds	Q4G0H2	BC093745.1
B24R17C02	hypothetical LOC441178, mRNA (cDNA clone MGC:120780 IMAGE:7939590), complete cds	Q4G0H2	BC093745.1
B24R17C03	Sin3 histone deacetylase corepressor complex component SDS3	Q9H7L9	BC093990.1,NM_022491.2
B24R17C04	Sin3 histone deacetylase corepressor complex component SDS3	Q9H7L9	BC093990.1,NM_022491.2
B24R17C05	NudC domain-containing protein 1	Q96RS6	BC031258.1,BC000967.2
B24R17C06	NudC domain-containing protein 1	Q96RS6	BC031258.1,BC000967.2
B24R17C07	V-set domain containing T cell activation inhibitor 1 (VTCN1), mRNA	NA	NA
B24R17C08	V-set domain containing T cell activation inhibitor 1 (VTCN1), mRNA	NA	NA
B24R17C09	FYVE, RhoGEF and PH domain containing 6 (FGD6)	Q6ZV73	BC013319.1
B24R17C10	FYVE, RhoGEF and PH domain containing 6 (FGD6)	Q6ZV73	BC013319.1
B24R17C11	membrane-spanning 4-domains, subfamily A, member 6A (MS4A6A)	Q9H2W1	BC022854.1
B24R17C12	membrane-spanning 4-domains, subfamily A, member 6A (MS4A6A)	Q9H2W1	BC022854.1
B24R17C13	zinc finger protein 673 (ZNF673)	Q5JUW0	BC012569.1
B24R17C14	zinc finger protein 673 (ZNF673)	Q5JUW0	BC012569.1
B24R17C15	transmembrane protein 140 (TMEM140)	Q9NV12	BC020942.1
B24R17C16	transmembrane protein 140 (TMEM140)	Q9NV12	BC020942.1
B24R17C17	WD repeat domain 1 (WDR1)	O75083	BC000201.1
B24R17C18	WD repeat domain 1 (WDR1)	O75083	BC000201.1
B24R17C19	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (ATP5C1), nuclear gene encoding mitochondrial protein, transcript variant 2	P36542	NM_005174.2
B24R17C20	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (ATP5C1), nuclear gene encoding mitochondrial protein, transcript variant 2	P36542	NM_005174.2
B24R17C21	SAPS domain family, member 2 (SAPS2)	O75170	NM_014678.3,BC052995.2
B24R17C22	SAPS domain family, member 2 (SAPS2)	O75170	NM_014678.3,BC052995.2
B24R18C01	CDC42 effector protein (Rho GTPase binding) 4 (CDC42EP4)	Q9H3Q1	NM_012121.4,BC010451.1
B24R18C02	CDC42 effector protein (Rho GTPase binding) 4 (CDC42EP4)	Q9H3Q1	NM_012121.4,BC010451.1
B24R18C03	exonuclease NEF-sp (LOC81691)	Q96IC2	BC007646.1
B24R18C04	exonuclease NEF-sp (LOC81691)	Q96IC2	BC007646.1
B24R18C05	sciellin (SCEL)	Q8WW87,O95171	BC020726.1,BC047536.1
B24R18C06	sciellin (SCEL)	Q8WW87,O95171	BC020726.1,BC047536.1
B24R18C07	chromosome 13 open reading frame 3 (C13orf3)	Q8IX90	BC048988.1,NM_145061.1
B24R18C08	chromosome 13 open reading frame 3 (C13orf3)	Q8IX90	BC048988.1,NM_145061.1
B24R18C09	actin related protein 2/3 complex, subunit 5, 16kDa (ARPC5)	O15511	BC057237.1
B24R18C10	actin related protein 2/3 complex, subunit 5, 16kDa (ARPC5)	O15511	BC057237.1
B24R18C11	Lck-interacting transmembrane adapter 1	Q9H400	BC017016.1
B24R18C12	Lck-interacting transmembrane adapter 1	Q9H400	BC017016.1
B24R18C13	zinc finger protein 346 (ZNF346)	Q9UL40	NM_012279.1
B24R18C14	zinc finger protein 346 (ZNF346)	Q9UL40	NM_012279.1
B24R18C15	voltage-dependent anion channel 3 (VDAC3)	Q9Y277	BC056870.1
B24R18C16	voltage-dependent anion channel 3 (VDAC3)	Q9Y277	BC056870.1
B24R18C17	B-cell CLL/lymphoma 10 (BCL10)	O95999	BC053617.1
B24R18C18	B-cell CLL/lymphoma 10 (BCL10)	O95999	BC053617.1
B24R18C19	chromosome 6 open reading frame 141 (C6orf141)	Q5SZD1	NM_153344.1
B24R18C20	chromosome 6 open reading frame 141 (C6orf141)	Q5SZD1	NM_153344.1
B24R18C21	protein phosphatase 2, regulatory subunit B', delta isoform (PPP2R5D), transcript variant 2	A8K3I9	NM_180976.1
B24R18C22	protein phosphatase 2, regulatory subunit B', delta isoform (PPP2R5D), transcript variant 2	A8K3I9	NM_180976.1
B24R19C01	polycomb group ring finger 3 (PCGF3)	Q3KNV8	NM_006315.4
B24R19C02	polycomb group ring finger 3 (PCGF3)	Q3KNV8	NM_006315.4
B24R19C03	PREDICTED: Homo sapiens hypothetical protein LOC145842 (LOC145842)	NA	XM_373630.2
B24R19C04	PREDICTED: Homo sapiens hypothetical protein LOC145842 (LOC145842)	NA	XM_373630.2
B24R19C05	Serine/threonine-protein kinase PLK1	P53350	BC002369.1
B24R19C06	Serine/threonine-protein kinase PLK1	P53350	BC002369.1
B24R19C07	Integrin-linked protein kinase	Q13418	NM_004517.1
B24R19C08	Integrin-linked protein kinase	Q13418	NM_004517.1
B24R19C09	Olfactory receptor 14K1	Q8NGZ2	XM_291436.1
B24R19C10	Olfactory receptor 14K1	Q8NGZ2	XM_291436.1
B24R19C11	WD repeat-containing protein 27	A2RRH5	BC040606.1
B24R19C12	WD repeat-containing protein 27	A2RRH5	BC040606.1
B24R19C13	phosphatidylinositol binding clathrin assembly protein (PICALM), transcript variant 2	Q6GMQ6	NM_001008660.1
B24R19C14	phosphatidylinositol binding clathrin assembly protein (PICALM), transcript variant 2	Q6GMQ6	NM_001008660.1
B24R19C15	Zinc finger CCHC domain-containing protein 8	Q6NZY4	NM_017612.1,BC065918.1
B24R19C16	Zinc finger CCHC domain-containing protein 8	Q6NZY4	NM_017612.1,BC065918.1
B24R19C17	ATG12 autophagy related 12 homolog (S. cerevisiae) (ATG12)	O94817	BC012266.2
B24R19C18	ATG12 autophagy related 12 homolog (S. cerevisiae) (ATG12)	O94817	BC012266.2
B24R19C19	Nedd4 family interacting protein 2 (NDFIP2)	Q9NV92	BC021988.1
B24R19C20	Nedd4 family interacting protein 2 (NDFIP2)	Q9NV92	BC021988.1
B24R19C21	E3 ubiquitin-protein ligase Itchy homolog	Q96J02	NM_031483.3
B24R19C22	E3 ubiquitin-protein ligase Itchy homolog	Q96J02	NM_031483.3
B24R20C01	Fatty acid 2-hydroxylase	Q7L5A8	NM_024306.1
B24R20C02	Fatty acid 2-hydroxylase	Q7L5A8	NM_024306.1
B24R20C03	XK, Kell blood group complex subunit-related family, member 8 (XKR8)	Q9H6D3	BC003606.1
B24R20C04	XK, Kell blood group complex subunit-related family, member 8 (XKR8)	Q9H6D3	BC003606.1
B24R20C05	zinc finger protein 765 (ZNF765)	Q9BV49,Q7L2R6	BC001610.1,BC017357.1
B24R20C06	zinc finger protein 765 (ZNF765)	Q9BV49,Q7L2R6	BC001610.1,BC017357.1
B24R20C07	Non-SMC element 4 homolog A	Q9NXX6	BC005212.1
B24R20C08	Non-SMC element 4 homolog A	Q9NXX6	BC005212.1
B24R20C09	zinc finger CCCH-type, antiviral 1-like (ZC3HAV1L)	Q96H79	NM_080660.2
B24R20C10	zinc finger CCCH-type, antiviral 1-like (ZC3HAV1L)	Q96H79	NM_080660.2
B24R20C11	SPRY domain-containing SOCS box protein 4	Q96A44	NM_080862.1
B24R20C12	SPRY domain-containing SOCS box protein 4	Q96A44	NM_080862.1
B24R20C13	proteasome (prosome, macropain) subunit, alpha type, 4 (PSMA4), transcript variant 1	P25789	NM_002789.2
B24R20C14	proteasome (prosome, macropain) subunit, alpha type, 4 (PSMA4), transcript variant 1	P25789	NM_002789.2
B24R20C15	5-hydroxytryptamine (serotonin) receptor 3B (HTR3B), mRNA	NA	NA
B24R20C16	5-hydroxytryptamine (serotonin) receptor 3B (HTR3B), mRNA	NA	NA
B24R20C17	WD repeat domain 41 (WDR41), mRNA	NA	NA
B24R20C18	WD repeat domain 41 (WDR41), mRNA	NA	NA
B24R20C19	Transcription factor AP-2 delta (activating enhancer binding protein 2 delta) (TFAP2D), mRNA	NA	NA
B24R20C20	Transcription factor AP-2 delta (activating enhancer binding protein 2 delta) (TFAP2D), mRNA	NA	NA
B24R20C21	Mal, T-cell differentiation protein (MAL), transcript variant a, mRNA	NA	NA
B24R20C22	Mal, T-cell differentiation protein (MAL), transcript variant a, mRNA	NA	NA
B24R21C01	Hypothetical protein MGC24180, mRNA (cDNA clone MGC:24180 IMAGE:4773510), complete cds	NA	NA
B24R21C02	Hypothetical protein MGC24180, mRNA (cDNA clone MGC:24180 IMAGE:4773510), complete cds	NA	NA
B24R21C03	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa, mRNA (cDNA clone MGC:45660 IMAGE:4872196), complete cds	NA	NA
B24R21C04	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa, mRNA (cDNA clone MGC:45660 IMAGE:4872196), complete cds	NA	NA
B24R21C05	Nuclear receptor subfamily 1, group I, member 2 (NR1I2), transcript variant 1, mRNA	NA	NA
B24R21C06	Nuclear receptor subfamily 1, group I, member 2 (NR1I2), transcript variant 1, mRNA	NA	NA
B24R21C07	Aldehyde dehydrogenase 3 family, member B1 (ALDH3B1), transcript variant 2, mRNA	NA	NA
B24R21C08	Aldehyde dehydrogenase 3 family, member B1 (ALDH3B1), transcript variant 2, mRNA	NA	NA
B24R21C10	SLAMF7 / CRACC / CD319 Protein (His Tag)	NA	NA
B24R21C12	Internal Control	NA	NA
B24R21C13	VWC2 / Brorin Protein (His Tag)	NA	NA
B24R21C14	VWC2 / Brorin Protein (His Tag)	NA	NA
B24R21C15	Internal Control	NA	NA
B24R21C16	Internal Control	NA	NA
B24R21C17	CHI3L1 Protein (His Tag)	NA	NA
B24R21C18	CHI3L1 Protein (His Tag)	NA	NA
B24R21C19	Internal Control	NA	NA
B24R21C22	Internal Control	NA	NA
B25R02C11	SERPINE1 mRNA binding protein 1 (SERBP1)	Q8NC51	BC003049.1,BC020555.1,BC002488.1
B25R02C12	SERPINE1 mRNA binding protein 1 (SERBP1)	Q8NC51	BC003049.1,BC020555.1,BC002488.1
B25R02C13	mediator complex subunit 6 (MED6)	O75586	BC004106.1
B25R02C14	mediator complex subunit 6 (MED6)	O75586	BC004106.1
B25R02C15	ankyrin 1, erythrocytic (ANK1)	Q53ER1	BC030957.1
B25R02C16	ankyrin 1, erythrocytic (ANK1)	Q53ER1	BC030957.1
B25R02C17	Similar to matrix metalloproteinase 28, clone MGC:19774 IMAGE:3641019, mRNA, complete cds	NA	NA
B25R02C18	Similar to matrix metalloproteinase 28, clone MGC:19774 IMAGE:3641019, mRNA, complete cds	NA	NA
B25R02C19	leucine rich repeat containing 42 (LRRC42)	Q9Y546	NM_052940.3
B25R02C20	leucine rich repeat containing 42 (LRRC42)	Q9Y546	NM_052940.3
B25R02C21	WD repeat domain 88 (WDR88)	Q6ZMY6	BC031227.1
B25R02C22	WD repeat domain 88 (WDR88)	Q6ZMY6	BC031227.1
